,제목,장르,작가,연재 시작일,마지막 연재일,연재수,댓글수,추천수,평점,Site
5525,플레이어 시스템,현판,현무지기,2016-03-17,2016-06-02,150,9,2,6.3,NaverSeries
5526,당신은 가벼운 남자,로맨스,심윤서,2012-08-10,2012-08-10,1,39,36,9.1,NaverSeries
5527,Crazy 별당아씨,로맨스,신이경,2015-02-16,2015-04-30,77,16,34,8.9,NaverSeries
5528,무관심을 스치다,로맨스,홍소이,2014-10-27,2014-10-27,2,20,42,8.4,NaverSeries
5529,반지,로맨스,황진순,2012-05-10,2012-05-10,1,45,84,8.7,NaverSeries
5530,검황 아스엘,판타지,지원,2011-06-10,2011-06-10,8,11,8,5.3,NaverSeries
5531,전장의 지배자,판타지,전진검,2015-03-12,2015-11-16,6,10,5,6.1,NaverSeries
5532,천검보,무협,장백산,2014-06-11,2014-06-11,7,5,7,5.8,NaverSeries
5533,비류,무협,인재,2014-03-26,2014-08-04,7,9,16,5.8,NaverSeries
5534,현세신화,현판,현천,2014-03-17,2014-03-17,6,12,2,5.0,NaverSeries
5535,Mr. 깽판왕,판타지,진솔,2014-01-27,2014-01-27,6,23,10,6.9,NaverSeries
5536,판도라,판타지,류승현,2012-12-21,2012-12-21,6,32,30,8.0,NaverSeries
5537,가희,로맨스,이새인,2012-09-17,2012-09-17,2,48,41,8.9,NaverSeries
5538,만검산장,무협,글작소,2012-06-15,2012-06-15,5,17,5,7.5,NaverSeries
5539,천룡전기,무협,악필서생,2016-10-28,2016-10-28,227,22,22,8.0,NaverSeries
5540,땡큐배리머치,로맨스,ㅡ꽃등ㅡ,2014-09-04,2014-12-10,109,13,24,7.1,NaverSeries
5541,태신곡,판타지,현민,2014-03-27,2014-03-27,7,35,15,8.0,NaverSeries
5542,용왕님의 셰프가 되었습니다,로판,문백경,2017-01-06,2018-05-29,205,4116,847,9.7,NaverSeries
5543,운종룡변종견,무협,담적산,2014-06-23,2014-12-11,118,10,31,7.2,NaverSeries
5544,건드리지마,현판,현천,2013-10-23,2013-10-23,8,19,3,3.8,NaverSeries
5545,"프라하, 그 유혹의 밤 클린버전",로맨스,데스띠나,2016-11-22,2016-12-01,154,5,26,7.9,NaverSeries
5546,천마재림,무협,김태현,2014-12-01,2014-12-01,21,18,12,3.6,NaverSeries
5547,스킬스,판타지,류화수,2015-07-09,2015-10-14,155,15,15,4.8,NaverSeries
5548,그들의 연애,로맨스,미리내,2014-12-04,2015-02-17,59,14,36,8.7,NaverSeries
5549,올반 백작,판타지,김주일,2014-04-04,2014-11-10,7,16,18,4.1,NaverSeries
5550,엘샤 꽃나무 아래에 앉아서(개정판),로판,양효진,2014-09-05,2014-09-05,6,19,15,9.1,NaverSeries
5551,"여름, 찬란한 그들",로맨스,우지혜,2014-07-28,2014-07-28,1,48,116,9.0,NaverSeries
5552,멸망의 경계,현판,만상조,2014-10-29,2015-02-23,194,29,17,7.6,NaverSeries
5553,북궁남가,무협,금시조,2014-12-29,2014-12-29,15,4,2,5.8,NaverSeries
5554,메리 크리스마스,로맨스,심윤서,2012-07-16,2012-07-16,1,46,64,8.9,NaverSeries
5555,만능물산 사장님,판타지,카르마이,2014-01-09,2014-01-09,7,19,4,5.6,NaverSeries
5556,왕의 아이,로맨스,신우,2014-08-04,2015-01-29,130,7,17,8.0,NaverSeries
5557,풍운,무협,마라도,2014-05-23,2014-05-23,5,2,14,6.5,NaverSeries
5558,해골왕,판타지,규야랑,2017-04-19,2018-03-07,251,40,14,6.1,NaverSeries
5559,혈원궁신,무협,백동일,2017-11-17,2017-11-17,7,11,8,7.3,NaverSeries
5560,던전 세상의 결계술사,판타지,호달이,2017-01-11,2017-01-11,12,23,6,5.0,NaverSeries
5561,오피스 로맨스,로맨스,서혜은,2014-01-07,2014-01-07,1,44,92,8.4,NaverSeries
5562,낙월진천,무협,담인,2015-04-09,2015-04-09,5,13,8,6.2,NaverSeries
5563,보군림,무협,임영기,2012-12-04,2012-12-04,10,5,10,5.8,NaverSeries
5564,그날들,로맨스,윤제이,2015-05-29,2015-05-29,1,122,216,9.4,NaverSeries
5565,하이데론,판타지,유운권,2013-04-15,2013-04-15,5,22,24,7.3,NaverSeries
5566,실루엣,로맨스,리버 진,2016-11-11,2016-12-21,127,123,99,9.3,NaverSeries
5567,맹수주의보,로판,이하린,2016-08-01,2016-08-01,85,9,33,9.2,NaverSeries
5568,로맨틱 쉐어,로맨스,시나,2016-04-18,2016-04-18,52,5,17,9.0,NaverSeries
5569,이용당한 여자(개정),로맨스,뷰티플,2015-11-18,2016-01-13,44,2,15,5.5,NaverSeries
5570,마룡전,무협,김강현,2015-06-01,2015-06-01,24,21,8,7.8,NaverSeries
5571,태산파,무협,한시랑,2013-08-05,2013-08-05,6,6,4,7.2,NaverSeries
5572,노호곡,무협,여령,2012-09-12,2012-09-12,5,6,1,6.4,NaverSeries
5573,삶의 미리보기,현판,정상수,2017-07-10,2017-08-04,12,17,20,5.1,NaverSeries
5574,투레이센,판타지,권태용,2014-04-02,2014-04-02,21,20,14,7.4,NaverSeries
5575,시티홀릭,현판,수민,2014-07-11,2015-02-27,8,11,25,5.4,NaverSeries
5576,동국기,판타지,남운&북조,2014-06-03,2014-11-10,9,12,14,4.2,NaverSeries
5577,고수,무협,화풍객,2014-01-21,2014-01-21,6,3,7,5.8,NaverSeries
5578,씨어(Seer),판타지,류지혁,2012-10-05,2012-10-05,7,6,22,7.2,NaverSeries
5579,마탑의 사서,판타지,양인산,2017-12-07,2017-12-07,12,33,16,6.8,NaverSeries
5580,천하를 훔치다,무협,세종,2013-08-01,2013-08-01,7,6,4,6.0,NaverSeries
5581,천괴,무협,한성수,2011-12-12,2011-12-12,7,6,9,6.9,NaverSeries
5582,가면 왕비,로맨스,길체,2016-02-23,2016-02-23,67,26,39,8.1,NaverSeries
5583,사랑한다면,로맨스,정경하,2012-11-01,2012-11-01,1,29,38,8.6,NaverSeries
5584,부활의 시간,판타지,인기영,2012-10-26,2012-10-26,7,20,34,6.1,NaverSeries
5585,리얼,판타지,제로베이스,2012-09-03,2012-09-03,7,13,1,5.2,NaverSeries
5586,권왕 과보,무협,정건,2016-03-18,2016-03-18,7,9,4,5.2,NaverSeries
5587,그랑프리 (grand prix),로맨스,장소영,2014-04-07,2014-04-07,2,60,125,8.7,NaverSeries
5588,태극진천하,무협,설백(雪白),2017-01-05,2017-03-23,7,12,9,7.1,NaverSeries
5589,레이드 구조대,현판,김종혁,2016-07-28,2016-09-07,152,51,20,7.6,NaverSeries
5590,피의 군주,판타지,성병용,2011-11-29,2011-11-29,13,21,11,6.4,NaverSeries
5591,신대륙개척기,판타지,전투망치,2015-12-29,2016-12-13,478,14,9,6.4,NaverSeries
5592,아벨라즈가의 형제들,판타지,동은,2015-07-14,2015-07-14,21,14,29,7.1,NaverSeries
5593,패스마스터,현판,로맨틱,2015-08-31,2017-07-03,191,37,5,4.8,NaverSeries
5594,악마와 유리구두 (개정판),로맨스,박수정(방울마마),2013-05-20,2013-05-20,1,55,55,8.4,NaverSeries
5595,몽상가,무협,김대산,2013-01-29,2013-01-29,7,17,5,7.5,NaverSeries
5596,노가다로 만렙까지,판타지,최은,2017-03-20,2017-12-14,274,110,42,6.0,NaverSeries
5597,백우천추,무협,곽운,2014-06-10,2014-06-10,6,9,9,5.1,NaverSeries
5598,음공의 대가 (개정판),무협,일성,2016-11-10,2016-11-10,10,13,13,7.1,NaverSeries
5599,그 남자의 사랑.,로맨스,국희,2015-03-20,2015-04-07,60,2,16,8.2,NaverSeries
5600,스캔들,로맨스,천루아,2014-10-24,2014-11-21,33,23,19,8.3,NaverSeries
5601,야광충,무협,좌백,2014-09-26,2014-09-26,6,12,10,7.7,NaverSeries
5602,앱노말 라이프,판타지,김태진,2014-11-20,2015-09-04,8,22,4,4.6,NaverSeries
5603,두근요전기(색마전기),무협,백야,2014-06-10,2014-06-10,6,11,10,7.3,NaverSeries
5604,마풍협성,무협,송진용,2014-04-07,2014-04-07,5,8,8,7.5,NaverSeries
5605,고슴도치,로맨스,한새희,2014-01-29,2014-01-29,1,75,71,8.9,NaverSeries
5606,러브 고 라운드 (LOVE GO ROUND),로맨스,심윤서(프란체스카),2013-11-29,2013-11-29,1,64,80,8.8,NaverSeries
5607,금강전사,현판,흑신마,2015-11-09,2015-11-09,7,9,5,5.2,NaverSeries
5608,스토커의 달콤한 매력,로맨스,로가다,2014-12-02,2015-01-02,61,7,29,8.3,NaverSeries
5609,"금, 그 너머에는",로맨스,레이지피스,2017-04-03,2017-06-21,140,196,371,9.4,NaverSeries
5610,곤룡유기,무협,이소,2013-11-01,2013-11-01,9,19,14,7.6,NaverSeries
5611,마신 엘로드,판타지,다원,2012-04-27,2012-04-27,5,13,6,7.8,NaverSeries
5612,용아십병,무협,도검,2016-10-27,2016-10-27,7,7,3,6.4,NaverSeries
5613,나는 한 편의 극을 보았다,로판,unias,2016-07-21,2016-07-21,4,24,54,8.9,NaverSeries
5614,용사님은 샐러리맨,현판,깃털펜,2015-02-10,2015-07-20,155,36,30,7.8,NaverSeries
5615,의원전생,무협,낙관,2015-02-23,2015-02-23,6,9,9,5.4,NaverSeries
5616,인어는 가을에 죽다,로판,문백경,2014-04-11,2014-06-10,55,19,53,8.4,NaverSeries
5617,악녀를 위한 해피엔딩,로판,꼼이 꼼이,2015-11-10,2015-12-16,142,21,34,8.6,NaverSeries
5618,차원 추격자: God of Dimension,현판,닥터하이츠,2016-06-30,2016-09-19,187,19,6,8.8,NaverSeries
5619,검성전,무협,환유,2015-01-14,2015-01-14,5,25,13,7.2,NaverSeries
5620,그 남자의 퀸카,로맨스,정경하,2012-11-01,2012-11-01,1,30,45,9.0,NaverSeries
5621,마성의 남자,로맨스,배푸름,2015-12-29,2016-01-27,67,9,27,9.2,NaverSeries
5622,와룡성수,무협,청산,2013-01-23,2013-01-23,5,4,5,5.0,NaverSeries
5623,오,무협,수수림,2018-02-23,2018-02-23,6,7,4,6.3,NaverSeries
5624,드세요(클린버전),로맨스,러브니,2018-02-22,2018-02-22,35,14,22,9.5,NaverSeries
5625,인어의 목소리,판타지,정연주,2014-06-23,2014-06-23,3,14,51,8.4,NaverSeries
5626,지배의 법칙,판타지,민서,2013-04-22,2013-04-22,6,14,4,6.3,NaverSeries
5627,보스의 품격에 관한 사소한 보고서,로맨스,이노(INO),2013-04-08,2013-04-08,2,51,75,8.9,NaverSeries
5628,멸문화산,무협,고병인,2013-12-27,2013-12-27,5,12,3,6.6,NaverSeries
5629,음마무적,무협,강인하,2013-12-12,2013-12-12,4,4,1,7.5,NaverSeries
5630,구중궁궐,로맨스,이정운,2012-06-26,2012-06-26,2,41,46,8.9,NaverSeries
5631,빙궁영웅전,무협,심가(心價),2014-05-08,2014-05-08,6,16,10,7.6,NaverSeries
5632,바람,로맨스,홍수연,2013-10-18,2013-10-18,2,190,329,9.4,NaverSeries
5633,"깨어나라, 최강의 능력자!",현판,소울풍,2017-08-07,2018-01-22,176,130,41,7.1,NaverSeries
5634,광속구,판타지,흑신마,2017-02-01,2017-03-08,226,11,11,5.4,NaverSeries
5635,소림권왕,무협,무진림,2015-03-25,2015-03-25,15,10,20,6.4,NaverSeries
5636,널 갖고 싶은 욕망,로맨스,천루아,2014-10-22,2014-11-20,40,24,17,7.9,NaverSeries
5637,귀환대제,판타지,소월,2014-06-10,2014-06-10,6,9,21,5.9,NaverSeries
5638,염왕진무,무협,김석진,2015-12-23,2015-12-23,30,5,6,7.0,NaverSeries
5639,더 스토리,무협,가람검,2015-09-23,2015-09-23,8,16,14,5.8,NaverSeries
5640,리턴,판타지,발렌,2014-02-27,2014-02-27,6,10,12,7.1,NaverSeries
5641,평범한 그녀석,현판,REcoN,2015-06-05,2015-06-05,10,18,10,3.7,NaverSeries
5642,전신전설,판타지,봉사,2013-11-19,2013-11-19,7,14,6,6.7,NaverSeries
5643,원수 같은 나의 스타,로맨스,온리온,2016-02-23,2016-03-25,53,5,31,9.0,NaverSeries
5644,수라기,무협,흑야,2011-06-10,2011-06-10,5,10,13,5.4,NaverSeries
5645,천공무조백,무협,운중행,2017-03-29,2017-03-29,4,3,3,6.6,NaverSeries
5646,공략왕의 생존비법,판타지,권하율,2015-12-02,2016-04-20,177,57,15,6.9,NaverSeries
5647,은빛늑대,판타지,캣츠아이,2013-05-03,2013-05-03,6,7,3,5.1,NaverSeries
5648,닥치고 한 방,현판,한태승,2014-06-10,2014-06-10,9,4,4,5.6,NaverSeries
5649,아발론,판타지,서경훈,2015-12-07,2016-05-19,150,6,12,6.3,NaverSeries
5650,죽근의원,무협,미구,2012-04-27,2012-04-27,7,3,9,6.2,NaverSeries
5651,데블 & 아이스,현판,권태용,2017-02-07,2017-09-25,375,35,22,7.4,NaverSeries
5652,완벽한 동거,로맨스,서정윤,2014-09-01,2014-09-01,1,46,76,9.0,NaverSeries
5653,전륜마도,무협,도검,2016-11-03,2016-11-03,6,23,10,8.4,NaverSeries
5654,십삼월무,무협,참마도,2015-07-30,2015-07-30,7,7,4,6.9,NaverSeries
5655,레인드롭스(Raindrops),로맨스,모카,2014-03-20,2014-05-20,32,3,11,7.8,NaverSeries
5656,김부장이 간다,무협,김대산,2014-02-17,2014-02-17,9,19,16,7.6,NaverSeries
5657,잭팟,현판,류빈,2013-10-02,2013-10-02,6,7,1,5.0,NaverSeries
5658,액터베이션,현판,후연,2014-01-02,2014-01-02,8,7,4,6.0,NaverSeries
5659,고려무신 척준경,판타지,강산하,2015-10-08,2015-10-08,8,23,18,6.9,NaverSeries
5660,기적처럼,로맨스,전서진,2015-09-14,2015-09-14,2,67,165,9.3,NaverSeries
5661,무한의창조사,판타지,오렌,2015-07-09,2015-07-09,8,17,23,6.4,NaverSeries
5662,파천의 군주,판타지,태제,2014-04-18,2014-04-18,13,9,21,6.6,NaverSeries
5663,왕의 투구,판타지,한세,2014-04-14,2014-04-14,24,9,2,5.8,NaverSeries
5664,대해적 시대,판타지,시인단테,2016-06-30,2016-08-02,209,33,30,7.9,NaverSeries
5665,다크니스 로드,판타지,잉여잉여킹,2015-03-09,2015-03-09,8,21,21,6.9,NaverSeries
5666,프로스타 대륙전기,판타지,6호전차Tiger,2012-06-13,2012-06-13,6,47,15,7.9,NaverSeries
5667,더블 에이스,현판,실란트로,2015-07-29,2017-02-20,113,26,9,5.7,NaverSeries
5668,원스 어폰 어 타임 인 무림,무협,사야공,2016-05-25,2016-08-09,139,26,15,7.6,NaverSeries
5669,가짜 황녀,로맨스,송가을,2015-11-09,2015-11-09,32,7,22,7.8,NaverSeries
5670,메두사,로맨스,비연,2012-01-20,2012-01-20,2,40,76,8.7,NaverSeries
5671,삼국지 원굉전,판타지,pioren,2017-05-23,2017-07-07,392,50,12,7.0,NaverSeries
5672,나쁜 청혼(클린버전),로맨스,러브니,2018-02-28,2018-02-28,36,12,24,9.2,NaverSeries
5673,검왕창천개정판,무협,남궁훈,2015-04-06,2017-08-25,10,11,14,6.6,NaverSeries
5674,천.산.루,무협,조돈형,2014-07-04,2017-03-07,12,23,28,6.7,NaverSeries
5675,용검봉도,무협,이광주,2015-09-03,2015-09-03,4,4,10,7.0,NaverSeries
5676,아빠의 게임,판타지,정현우,2018-03-27,2021-10-20,471,173,11,7.7,NaverSeries
5677,"헌터, 웃기지마!",판타지,무지카,2018-05-03,2019-04-13,351,22,5,6.2,NaverSeries
5678,헬리오스 나인,판타지,한시랑,2017-01-17,2018-06-20,150,17,21,6.7,NaverSeries
5679,루시드 드림(Lucid Dreaming): 꿈의 여자,현판,윤유,2014-08-27,2016-07-20,243,48,54,8.2,NaverSeries
5680,지금은 레이드 시대,현판,풍류랑,2015-09-04,2016-02-22,223,20,11,4.7,NaverSeries
5681,뉴 에이지(New Age),판타지,밀우,2014-08-12,2015-06-01,182,21,10,6.6,NaverSeries
5682,뉴 월드,판타지,김형신,2012-12-18,2012-12-18,7,9,5,6.3,NaverSeries
5683,100억 골드부터 시작하는,판타지,나니모노,2017-06-22,2017-07-10,157,118,15,7.1,NaverSeries
5684,너는 내 여자,로맨스,강은희,2014-02-04,2014-02-04,2,10,7,7.4,NaverSeries
5685,일로정진,무협,남운,2015-10-22,2015-10-22,24,2,7,4.9,NaverSeries
5686,코드 블루 (Code Blue) (개정증보판),로맨스,신윤희(에드가),2014-09-26,2014-09-26,2,31,120,9.2,NaverSeries
5687,강호소사전담반,무협,서유락,2014-07-28,2014-07-28,5,8,9,8.0,NaverSeries
5688,기사도,판타지,요람,2013-08-08,2013-08-08,7,15,7,5.3,NaverSeries
5689,과금전사,판타지,에드찬,2016-05-12,2016-05-12,6,30,18,5.9,NaverSeries
5690,타티이나,로맨스,타에린,2014-03-24,2014-04-21,60,7,26,7.5,NaverSeries
5691,나비궁,로판,윤이수,2014-03-21,2014-03-21,2,33,166,8.1,NaverSeries
5692,뉴트럴,판타지,헤니르,2016-07-06,2016-09-09,240,7,7,6.4,NaverSeries
5693,역천의 황제,판타지,태제,2014-04-18,2014-04-18,9,12,20,6.7,NaverSeries
5694,강호천리,무협,유소백,2014-12-04,2014-12-04,3,3,2,6.6,NaverSeries
5695,헌터스,현판,환이,2016-09-07,2017-03-06,178,17,10,6.7,NaverSeries
5696,연금술사 영주,판타지,천희명,2016-05-09,2016-05-12,9,16,4,6.2,NaverSeries
5697,벙어리 신부,로맨스,현지원,2014-10-14,2014-10-14,2,25,111,8.2,NaverSeries
5698,아내가 사라졌다,로맨스,물끄러미,2018-04-24,2018-04-24,3,31,90,8.9,NaverSeries
5699,스킬러,현판,봉사,2015-09-24,2015-09-24,7,20,6,4.4,NaverSeries
5700,골든 베이비 (Golden Baby) (개정증보판),로맨스,신해영,2014-09-29,2014-09-29,2,41,83,9.1,NaverSeries
5701,그녀는 신주의자,로맨스,서예원,2014-01-14,2014-01-14,2,10,6,7.2,NaverSeries
5702,금강권왕 강태현,판타지,클리너63,2016-11-28,2016-11-28,300,49,9,3.7,NaverSeries
5703,이계의 포탈,판타지,카르마이,2014-09-16,2014-09-16,10,20,5,4.1,NaverSeries
5704,몬스터 부리는 남자,판타지,최정상,2017-05-18,2018-01-31,140,101,13,7.4,NaverSeries
5705,무채색 결혼(15세 개정판),로맨스,향기바람이,2017-08-25,2017-08-25,43,29,29,9.6,NaverSeries
5706,더 파워,현판,야우사,2016-09-10,2016-11-04,243,15,12,6.7,NaverSeries
5707,수적왕,무협,권용찬,2016-03-15,2016-03-15,6,8,15,6.7,NaverSeries
5708,마법사 시스,판타지,봉사,2013-11-26,2013-11-26,6,7,6,6.6,NaverSeries
5709,애프터 웨딩,로맨스,진양,2013-06-25,2013-06-25,1,45,81,8.7,NaverSeries
5710,소림사,무협,금강,2014-03-31,2019-05-28,7,19,19,5.0,NaverSeries
5711,삼국지 강유전,판타지,한유림,2016-12-14,2016-12-14,8,21,10,7.8,NaverSeries
5712,신비의 키-스,로맨스,황세원,2015-12-01,2015-12-24,75,4,36,8.7,NaverSeries
5713,능의 사냥꾼,현판,박승연,2014-08-27,2015-01-22,10,11,10,4.5,NaverSeries
5714,두 번 사는 포수,현판,지언,2017-06-26,2018-05-30,271,67,37,6.9,NaverSeries
5715,신세계,현판,서형석,2017-03-10,2018-01-18,345,57,28,4.0,NaverSeries
5716,불편한 관계 (15세 개정판),로맨스,서정윤,2015-08-06,2015-08-06,1,51,98,9.3,NaverSeries
5717,반궁 꽃 선비,로맨스,문은정,2015-03-11,2016-02-29,118,6,21,8.3,NaverSeries
5718,빙혼,무협,허성환,2015-07-14,2015-07-14,12,3,11,5.8,NaverSeries
5719,현대영웅전,판타지,인기영,2014-05-25,2014-05-25,5,16,26,6.8,NaverSeries
5720,대해의 백제,판타지,풍아저씨,2018-03-02,2018-03-02,171,77,17,8.8,NaverSeries
5721,레벨업 에이스,현판,전율,2017-02-06,2017-05-12,201,71,39,7.7,NaverSeries
5722,가즈블러드,판타지,황규영,2014-05-02,2014-05-02,5,16,14,7.2,NaverSeries
5723,그의 사랑은,로맨스,최현자,2011-06-10,2011-06-10,2,18,27,8.9,NaverSeries
5724,불사신공,무협,북제,2014-06-10,2014-06-10,7,14,8,6.8,NaverSeries
5725,세상은 넓고 맞을 놈은 많다,현판,정현,2016-04-29,2017-03-24,161,12,4,4.1,NaverSeries
5726,뮤천,판타지,구암,2011-09-08,2011-09-08,9,20,4,6.3,NaverSeries
5727,광룡전설,무협,대현,2013-09-02,2013-09-02,8,8,9,5.4,NaverSeries
5728,리페어,판타지,브레인,2011-12-12,2011-12-12,7,8,0,4.6,NaverSeries
5729,피 끓는 산하,판타지,정우식,2011-06-24,2011-06-24,7,3,3,6.4,NaverSeries
5730,달달 무슨 달,로맨스,닻별,2016-11-03,2017-04-17,85,100,114,9.4,NaverSeries
5731,그 남자의 시선,로맨스,박은호,2014-03-10,2014-03-10,2,12,27,8.2,NaverSeries
5732,닿을 듯 말 듯,로맨스,이노,2013-11-15,2013-11-15,1,39,80,8.8,NaverSeries
5733,몽천악,무협,이소,2013-01-03,2013-01-03,6,8,6,8.0,NaverSeries
5734,공작의 아내가 되려는 이유,로판,묘묘희,2018-08-04,2018-08-04,177,56,27,9.1,NaverSeries
5735,인피니티 워,판타지,발렌e,2016-03-10,2016-09-13,142,13,24,7.1,NaverSeries
5736,전사의 탑,판타지,구왕,2015-01-07,2015-01-07,21,3,18,4.3,NaverSeries
5737,엘리트 대작전,현판,정은호,2015-01-12,2015-01-12,7,20,16,5.8,NaverSeries
5738,사상 최강 집사,판타지,진,2014-06-10,2014-06-10,7,7,9,6.3,NaverSeries
5739,무당마선,무협,수수림,2014-02-18,2014-02-18,5,2,3,4.9,NaverSeries
5740,진:심(진심),로맨스,연두,2013-03-19,2013-03-19,1,77,107,9.1,NaverSeries
5741,장구로,무협,나재륜,2014-02-04,2014-02-04,5,12,5,6.9,NaverSeries
5742,멀티클래스,현판,발칸레이븐,2015-10-29,2016-01-06,6,12,11,4.8,NaverSeries
5743,구룡천하,무협,도검,2016-10-20,2016-10-20,6,9,0,6.5,NaverSeries
5744,차원상인,판타지,피로곰세마리,2015-06-01,2015-06-01,7,26,4,4.4,NaverSeries
5745,"춘궁, 궁에도 꽃피는 봄이 온다",로맨스,김혜연,2012-05-17,2012-05-17,2,25,39,8.5,NaverSeries
5746,스펠아처,판타지,김민석,2012-04-24,2012-04-24,8,15,7,5.7,NaverSeries
5747,조선에서 귀환했다!,판타지,칼튼90,2017-11-15,2017-11-15,10,25,7,5.5,NaverSeries
5748,처음부터 너란 존재는,로맨스,소낙연(笑樂緣),2017-04-10,2017-04-10,1,57,198,9.4,NaverSeries
5749,천황무,무협,고월,2015-06-05,2015-06-05,3,9,3,5.5,NaverSeries
5750,"하분, 용의 나라",판타지,진산,2013-03-04,2014-02-24,129,7,1,7.0,NaverSeries
5751,여왕의 창기병,판타지,병수,2014-02-13,2014-02-13,10,45,41,8.1,NaverSeries
5752,나는 헌터다,현판,화운,2018-03-28,2018-03-28,260,66,6,6.3,NaverSeries
5753,통천신공 합,판타지,백도라지,2016-09-29,2016-09-29,8,8,11,5.9,NaverSeries
5754,불의 왕,판타지,정구,2014-09-23,2014-09-23,15,42,9,8.2,NaverSeries
5755,원더풀 라이프,현판,한승현,2013-08-13,2013-08-13,7,20,0,5.1,NaverSeries
5756,브레이커즈,판타지,취룡,2017-03-15,2017-06-27,234,372,95,8.5,NaverSeries
5757,트러블 힐러,현판,일우,2016-09-07,2016-09-07,8,15,7,4.9,NaverSeries
5758,귀환인,현판,김동신,2013-11-26,2013-11-26,5,16,5,6.8,NaverSeries
5759,해모수 제국,현판,pacar,2018-01-18,2018-01-18,20,16,9,3.6,NaverSeries
5760,황제의 호위무사는 황후,로맨스,멜리아,2014-06-27,2015-01-26,119,10,34,6.7,NaverSeries
